,approval_status,created,description,id,image_url,is_organization,name,revision_id,state,title,type
151,approved,2012-11-15T02:57:17.349519,The Research Group **[Agile Knowledge Engineering and Semantic Web (AKSW)](http://aksw.org)** is hosted by the Chair of [Business Information Systems](http://bis.informatik.uni-leipzig.de) (BIS) of the [Institute of Computer Science](http://www.informatik.uni-leipzig.de) (IfI) / [University of Leipzig](http://www.uni-leipzig.de) as well as the [Institute for Applied Informatics](http://infai.org) (InfAI).,e959733d-c3fb-4bdc-80c1-16a3b7026df3,http://aksw.org/extensions/site/sites/local/images/logo-aksw.png,True,aksw,27b89dff-320c-4ace-85e5-91fae85b2a0c,active,AKSW,organization
152,approved,2010-10-26T10:23:58.126233,"Linguistically/NLP-relevant dataset collected by the Open Linguistics Working Group (OWLG, http://linguistics.okfn.org).",01d1c654-ecfc-47b9-b7d0-d803adef7ca6,https://raw.githubusercontent.com/jmccrae/llod-cloud.py/master/llod-cloud.current.png,True,owlg,dd174770-46b3-4323-858d-a483909f2bac,active,OWLG,organization
153,approved,2015-03-04T14:52:54.601277,"La Universidad Nacional de Loja, es una Institución de Educación Superior, laica, autónoma, de derecho público, con personería jurídica y sin fines de lucro, de alta calidad académica y humanística, que ofrece formación en los niveles: técnico y tecnológico superior; profesional o de tercer nivel; y, de postgrado o cuarto nivel; que realiza investigación científico-técnica sobre los problemas del entorno, con calidad, pertinencia y equidad, a fin de coadyuvar al desarrollo sustentable de la región y del país, interactuando con la comunidad, generando propuestas alternativas a los problemas nacionales, con responsabilidad social; reconociendo y promoviendo la diversidad cultural y étnica y la sabiduría popular, apoyándose en el avance científico y tecnológico, en procura de mejorar la calidad de vida del pueblo ecuatoriano.",a2d3dd16-0bb3-49d9-bb4d-c7b4ba72e8aa,http://91.239.64.176:8080/academic-offer/static/banner-unl.jpg,True,academicdataec,5e0187f5-d9a9-4ccb-9c2b-bd1c9e04d795,active,Academic Data of Ecuador,organization
154,approved,2015-03-12T16:34:38.060210,"Laboratory of Information Science and Semantic Technologies @ ITMO University, Russia",7053e866-36d9-4567-af67-4a77af96c65b,http://isst.ifmo.ru/assets/logo.png,True,isst,0515e581-1259-4eb5-9908-4e88f38f0748,active,ISST,organization
155,approved,2014-04-12T09:56:05.384696,"In the scope of the work, we are interested in designing for supporting the above two concepts. This focuses on the healthcare business according to the Act of legislation (B.E. 2509), from the Ministry of Public Health. Such a business is very common in Hua Hin district.",8f7fdaa5-f84e-4a71-bc9b-debc1a8cc5a7,http://122.155.197.27:8085/huahin/resources/images/headers.jpg,True,https-www-facebook-com-healthtourismmanagement,79f3f40d-4dfe-4281-a2f0-dbbff61fdc1d,active,Health Tourism in Hua Hin,organization
156,approved,2012-11-15T02:57:17.349519,The Research Group **[Agile Knowledge Engineering and Semantic Web (AKSW)](http://aksw.org)** is hosted by the Chair of [Business Information Systems](http://bis.informatik.uni-leipzig.de) (BIS) of the [Institute of Computer Science](http://www.informatik.uni-leipzig.de) (IfI) / [University of Leipzig](http://www.uni-leipzig.de) as well as the [Institute for Applied Informatics](http://infai.org) (InfAI).,e959733d-c3fb-4bdc-80c1-16a3b7026df3,http://aksw.org/extensions/site/sites/local/images/logo-aksw.png,True,aksw,27b89dff-320c-4ace-85e5-91fae85b2a0c,active,AKSW,organization
157,approved,2015-03-07T19:07:27.647450,"The purpose of the TRanslational Informatics Applied to Drug Safety(TRIADS) lab is to conduct research at the intersection of informatics, pharmacoepidemiology, personalized medicine, and comparative effectiveness to improve medication safety for older adults.  Current projects include:

* Comparing the effectiveness personalized medication therapy with standard of care in older adults with numerous chronic conditions

* The dynamic enhancement of drug product labels through Semantic Web technologies

* Active monitoring of adverse event risk in patients exposed to pharmacokinetic drug-drug interactions

* Semantic modeling of pharmacogenomics statements to support decisions made by pharmacists, clinicians, and patient",5de125c2-3ab0-4b98-891e-ceb651c6a58c,,True,triads,7a3f116f-9b63-4e6d-b2c2-debe64116564,active,triads,organization
158,approved,2015-03-07T19:07:27.647450,"The purpose of the TRanslational Informatics Applied to Drug Safety(TRIADS) lab is to conduct research at the intersection of informatics, pharmacoepidemiology, personalized medicine, and comparative effectiveness to improve medication safety for older adults.  Current projects include:

* Comparing the effectiveness personalized medication therapy with standard of care in older adults with numerous chronic conditions

* The dynamic enhancement of drug product labels through Semantic Web technologies

* Active monitoring of adverse event risk in patients exposed to pharmacokinetic drug-drug interactions

* Semantic modeling of pharmacogenomics statements to support decisions made by pharmacists, clinicians, and patient",5de125c2-3ab0-4b98-891e-ceb651c6a58c,,True,triads,7a3f116f-9b63-4e6d-b2c2-debe64116564,active,triads,organization
159,approved,2015-02-27T09:02:45.145981,"The International Water Management Institute (IWMI) is a non-profit, scientific research organization focusing on the sustainable use of water and land resources in developing countries. It is headquartered in Colombo, Sri Lanka, with regional offices across Asia and Africa. IWMI works in partnership with governments, civil society and the private sector to develop scalable agricultural water management solutions that have a real impact on poverty reduction, food security and ecosystem health. IWMI is a member of CGIAR, a global research partnership for a food-secure future.",42477299-09e0-4e9f-a6d8-ac39460d6583,http://g9jzk5cmc71uxhvd44wsj7zyx.wpengine.netdna-cdn.com/wp-content/uploads/2013/06/IWMI_Logo.png,True,iwmi,b73b92d1-d2b6-42fc-95bd-2dc4b90352ce,active,International Water Management Institute,organization
160,approved,2015-02-27T09:02:45.145981,"The International Water Management Institute (IWMI) is a non-profit, scientific research organization focusing on the sustainable use of water and land resources in developing countries. It is headquartered in Colombo, Sri Lanka, with regional offices across Asia and Africa. IWMI works in partnership with governments, civil society and the private sector to develop scalable agricultural water management solutions that have a real impact on poverty reduction, food security and ecosystem health. IWMI is a member of CGIAR, a global research partnership for a food-secure future.",42477299-09e0-4e9f-a6d8-ac39460d6583,http://g9jzk5cmc71uxhvd44wsj7zyx.wpengine.netdna-cdn.com/wp-content/uploads/2013/06/IWMI_Logo.png,True,iwmi,b73b92d1-d2b6-42fc-95bd-2dc4b90352ce,active,International Water Management Institute,organization
